screen_code,state_code,title,approval_status,approved_for_development,artifact_type,reference_image,sha256
03A,15,Verificacion exitosa,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_15_VERIFICACION_EXITOSA_APROBADA_FINAL.png,6730747cbd5120081c23bca85a0db608f1716f02dd3e4225ab66087c7ba6c0ef
03B,00,Prepare lo necesario estado inicial,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03B_00_PREPARE_LO_NECESARIO_ESTADO_INICIAL_APROBADA_FINAL.png,38d0aa03a29d5400d6dfdc3a7a7dcbf214d3ed3a5e45bc3c9ae1b3b7ddd0c0e1
03B,01,Prepare lo necesario listo,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03B_01_PREPARE_LO_NECESARIO_LISTO_APROBADA_FINAL.png,62aafb1133e06f2af2ca21483dfa6f858667c753c2af97674f9ba8bc044acf24
03B,02A,Aviso privacidad unificado inicio,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03B_02A_AVISO_PRIVACIDAD_UNIFICADO_INICIO_APROBADA_FINAL.png,d162fdc58345d486c8b1f74688c542f10fa2ed08316a57600e44d3638dee752a
03B,02B,Aviso privacidad unificado final,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03B_02B_AVISO_PRIVACIDAD_UNIFICADO_FINAL_APROBADA_FINAL.png,9d85f36abd64a07bade02997ed46c4011521e4d51d46e9b7927bc7fab1d7741c
03C,00,Estado inicial,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_00_ESTADO_INICIAL_APROBADA_FINAL.png,378d10c98d1cf3a997e9867e2645f0f4f13ec58c7f3913b2f870bb5a501b4f88
03C,01,Camara frente,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_01_CAMARA_FRENTE_APROBADA_FINAL.png,16e564c3f8a9dee96d1ca9d58e3f58a420f80fe99bf12ccf4059731ff412b224
03C,02,Frente procesando,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_02_FRENTE_PROCESANDO_APROBADA_FINAL.png,b79d17ad6ef7a78c3c6031c11dee1a2888ea1f074139dc881a16cf6209e45c97
03C,03,Frente validado dorso habilitado,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_03_FRENTE_VALIDADO_DORSO_HABILITADO_APROBADA_FINAL.png,a66957d09756d5dd330fb972f40ea0fc97182c738043808aaadf484de5b71aa6
03C,04,Camara dorso,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_04_CAMARA_DORSO_APROBADA_FINAL.png,b93287e4bdca1e5d0b4a1b1de26c69fd8e280d6d7c3585279802083ff1d7b912
